ACK Flag Count,Active Max,Active Min,Active Std,Average Packet Size,Avg Bwd Segment Size,Avg Fwd Segment Size,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Header Length,Bwd IAT Max,Bwd IAT Mean,Bwd IAT Min,Bwd IAT Std,Bwd PSH Flags,Bwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Std,Bwd Packets/s,Bwd URG Flags,CWE Flag Count,Destination Port,Down/Up Ratio,ECE Flag Count,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Packets/s,Fwd Avg Bulk Rate,Fwd Avg Packets/Bulk,Fwd Header Length,Fwd Header Length.1,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Min,Fwd IAT Std,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Min,Fwd Packet Length Std,Fwd URG Flags,Idle Max,Idle Min,Idle Std,Init_Win_bytes_backward,Max Packet Length,Min Packet Length,PSH Flag Count,Packet Length Mean,Packet Length Std,Packet Length Variance,RST Flag Count,SYN Flag Count,Subflow Bwd Bytes,Subflow Bwd Packets,Subflow Fwd Bytes,Total Backward Packets,Total Fwd Packets,Total Length of Bwd Packets,URG Flag Count,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Bwd Avg Bulk Rate,Bwd IAT Total,Bwd Packet Length Max,FIN Flag Count,Flow Bytes/s,Fwd Avg Bytes/Bulk,Fwd IAT Total,Fwd PSH Flags,Fwd Packets/s,Idle Mean,Init_Win_bytes_forward,Subflow Fwd Packets,Total Length of Fwd Packets,Label
1.0,0.0,0.0,0.0,0.003560126582278481,0.0,0.0015515903801396431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372245620460234,0.0,0.0,3.3333350555564454e-08,3.3333333055555556e-08,3.738317722071797e-08,1.4018690016595513e-07,0.0,0.5333333333399999,0.0,0.0,0.001015331505736623,0.001015331505736623,2.5e-08,2.5e-08,1.2499998750000125e-07,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,0.0,0.0,6.55694708543702e-05,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.007684918347742555,0.0,2.5e-08,0.0,0.22222222223333332,0.0,0.000518798828125,0.0005178663904712584,6.55694708543702e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.001034393586759762,0.0015515903801396431,0.0,0.0,0.0003398355196085095,0.0,0.0,0.0,0.0,0.0,0.001034393586759762,0.004109589041095891,0.0,0.0045871559635,0.0,0.0,0.8401086492095464,0.14285714285714285,0.0,9.166671402780224e-07,9.166666590277777e-07,1.0280373735697443e-06,1.1308409946720381e-06,0.0,0.40366972476999996,0.0,0.0,0.0005076657528683114,0.0005076657528683114,0.0,0.0,9.9999990000001e-08,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,1.1600152039326062e-06,0.0003399048266485384,3.27847354271851e-05,0.0003399048266485384,0.0,1.1600152039326062e-06,1.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0005136986301369864,0.0,0.005816566639337176,0.0,0.0,0.0,0.003058103975666667,0.0,0.000457763671875,0.0,3.27847354271851e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.001034393586759762,0.0015515903801396431,0.0,0.0,0.0003398355196085095,0.0,0.0,0.0,0.0,0.0,0.001034393586759762,0.004109589041095891,0.0,0.009615384615,0.0,0.0,0.8401239089299883,0.14285714285714285,0.0,4.4166689486122903e-07,4.416666629861111e-07,4.953270981745131e-07,5.981307740414086e-07,0.0,0.407692307692,0.0,0.0,0.0005076657528683114,0.0005076657528683114,0.0,0.0,9.9999990000001e-08,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,1.1600152039326062e-06,0.0003399048266485384,3.27847354271851e-05,0.0003399048266485384,0.0,1.1600152039326062e-06,1.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0005136986301369864,0.0,0.005874528929298751,0.0,0.0,0.0,0.0064102564100000006,0.0,0.000457763671875,0.0,3.27847354271851e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.001034393586759762,0.0015515903801396431,0.0,0.0,0.0003398355196085095,0.0,0.0,0.0,0.0,0.0,0.001034393586759762,0.004109589041095891,0.0,0.014705882355,0.0,0.0,0.7055484343526827,0.14285714285714285,0.0,2.91666817361189e-07,2.916666642361111e-07,3.2710280068128226e-07,4.299064938422624e-07,0.0,0.411764705882,0.0,0.0,0.0005076657528683114,0.0005076657528683114,0.0,0.0,9.9999990000001e-08,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.005035400390625,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,1.1600152039326062e-06,0.0003399048266485384,3.27847354271851e-05,0.0003399048266485384,0.0,1.1600152039326062e-06,1.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0005136986301369864,0.0,0.005933209018491834,0.0,0.0,0.0,0.00980392157,0.0,0.00048828125,0.0,3.27847354271851e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.0,0.0015515903801396431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8371940426051394,0.0,0.0,3.3333350555564454e-08,3.3333333055555556e-08,3.738317722071797e-08,1.4018690016595513e-07,0.0,0.5333333333399999,0.0,0.0,0.001015331505736623,0.001015331505736623,2.5e-08,2.5e-08,1.2499998750000125e-07,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,0.0,0.0,6.55694708543702e-05,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.007684918347742555,0.0,2.5e-08,0.0,0.22222222223333332,0.0,0.0005035400390625,0.0005178663904712584,6.55694708543702e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.0,0.0015515903801396431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8373161203686749,0.0,0.0,8.525004404585609e-06,8.524999928958333e-06,9.560747574198622e-06,9.663550318106506e-06,0.0,0.4003913894324,0.0,0.0,0.001015331505736623,0.001015331505736623,8.516666666666668e-06,8.516666666666668e-06,8.616665805000087e-06,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,0.0,0.0,6.55694708543702e-05,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.005769328377987512,0.0,8.516666666666668e-06,0.0,0.0006523157206666666,0.0,0.0005035400390625,0.0005178663904712584,6.55694708543702e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.0,0.0015515903801396431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8381401452725386,0.0,0.0,4.166668819445557e-08,4.1666666319444445e-08,4.672897152589746e-08,1.4953269351035214e-07,0.0,0.49999999999999994,0.0,0.0,0.001015331505736623,0.001015331505736623,3.3333333333333334e-08,3.3333333333333334e-08,1.3333332000000134e-07,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,0.0,0.0,6.55694708543702e-05,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.007204610951008645,0.0,3.3333333333333334e-08,0.0,0.16666666666666669,0.0,0.0005035400390625,0.0005178663904712584,6.55694708543702e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.001034393586759762,0.0015515903801396431,0.0,0.0,0.0003398355196085095,0.0,0.0,0.0,0.0,0.0,0.001034393586759762,0.004109589041095891,0.0,0.011904761904999998,0.0,0.0,0.8381401452725386,0.14285714285714285,0.0,3.5833351847231786e-07,3.583333303472222e-07,4.0186915512271823e-07,5.046728405974384e-07,0.0,0.40952380952399997,0.0,0.0,0.0005076657528683114,0.0005076657528683114,0.0,0.0,9.9999990000001e-08,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0039215087890625,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,1.1600152039326062e-06,0.0003399048266485384,3.27847354271851e-05,0.0003399048266485384,0.0,1.1600152039326062e-06,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0005136986301369864,0.0,0.005900919445581172,0.0,0.0,0.0,0.007936507936666667,0.0,0.0005035400390625,0.0,3.27847354271851e-05,nomaly
1.0,0.0,0.0,0.0,0.003560126582278481,0.0,0.0015515903801396431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416407251419154,0.0,0.0,4.166668819445557e-08,4.1666666319444445e-08,4.672897152589746e-08,1.4953269351035214e-07,0.0,0.49999999999999994,0.0,0.0,0.001015331505736623,0.001015331505736623,3.3333333333333334e-08,3.3333333333333334e-08,1.3333332000000134e-07,0.0,0.0005136986301369864,0.0015515903801396431,0.004076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0005136986301369864,0.017804154302670624,0.0,0.0030978401175626607,0.0,0.0,0.0,0.0,0.0,0.0,6.55694708543702e-05,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.007204610951008645,0.0,3.3333333333333334e-08,0.0,0.16666666666666669,0.0,0.0005035400390625,0.0005178663904712584,6.55694708543702e-05,nomaly
1.0,0.0,0.0,0.0,0.013449367088607595,0.0,0.004784070338763899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8416193615332968,0.0,0.0,4.166668819445557e-08,4.1666666319444445e-08,4.672897152589746e-08,1.4953269351035214e-07,0.0,0.49999999999999994,0.0,0.0,0.001015331505736623,0.001015331505736623,3.3333333333333334e-08,3.3333333333333334e-08,1.3333332000000134e-07,0.0,0.002654109589041096,0.004784070338763899,0.004076086956521739,0.0026413577215718903,0.0,0.0,0.0,0.0,0.0,0.002654109589041096,0.017804154302670624,0.0,0.011702951556957742,0.0030505523440623075,9.300595236607143e-06,0.0,1.0,0.0,0.0,0.00020217253513430812,0.0,0.0005178663904712584,0.0,0.0,0.0005178663904712584,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.010206532180595581,0.0,3.3333333333333334e-08,1.0,0.16666666666666669,0.0,0.0144500732421875,0.0005178663904712584,0.00020217253513430812,nomaly
